Date,City,Temperature,Humidity,Rainfall,WindSpeed
2024-01-15,New York,5,65,12,15
2024-01-15,Los Angeles,18,55,0,10
2024-01-15,Chicago,-2,70,8,20
2024-01-15,Miami,24,75,5,12
2024-02-15,New York,8,62,15,18
2024-02-15,Los Angeles,20,50,0,8
2024-02-15,Chicago,1,68,10,22
2024-02-15,Miami,26,78,8,14
2024-03-15,New York,12,58,20,12
2024-03-15,Los Angeles,22,48,2,9
2024-03-15,Chicago,7,65,12,18
2024-03-15,Miami,28,80,15,16
2024-04-15,New York,16,55,25,10
2024-04-15,Los Angeles,24,45,0,7
2024-04-15,Chicago,12,60,18,15
2024-04-15,Miami,30,82,20,18
2024-05-15,New York,22,60,30,8
2024-05-15,Los Angeles,26,42,0,6
2024-05-15,Chicago,18,58,22,12
2024-05-15,Miami,32,85,25,20